src_on_top,GLOBAL PORT, AXI CONFIGURATION S PORTS, HARDWARE MODULE PORTS, M OUTPUT INTERFACE PORTS, AXI S CONFIGURATION SIGNALS, AXI M INTERNAL SIGNALS, MEMORY CNTRL LOGIC SIGNALS
GLOBAL PORT,3,2,12,4,7,5,10,
AXI CONFIGURATION S PORTS,2,10,0,0,6,0,0,
HARDWARE MODULE PORTS,2,2,12,5,4,11,10,
M OUTPUT INTERFACE PORTS,9,9,51,27,36,35,48,
AXI S CONFIGURATION SIGNALS,6,23,20,10,27,15,17,
AXI M INTERNAL SIGNALS,18,16,96,40,55,65,78,
MEMORY CNTRL LOGIC SIGNALS,14,25,68,31,69,53,64,
